Originalid,stationid,date,in_bike,out_bike
4,2542,2017/7/5,11,10
4,2542,2017/7/6,20,16
4,2542,2017/7/7,14,9
4,2542,2017/7/8,15,18
4,2542,2017/7/9,10,11
4,2542,2017/7/10,11,11
4,2542,2017/7/11,8,6
4,2542,2017/7/12,11,9
4,2542,2017/7/13,6,6
4,2542,2017/7/14,4,5
4,2542,2017/7/15,15,16
4,2542,2017/7/16,8,8
4,2542,2017/7/17,6,10
4,2542,2017/7/18,8,4
4,2542,2017/7/19,7,5
4,2542,2017/7/20,5,8
4,2542,2017/7/21,13,15
4,2542,2017/7/22,4,4
4,2542,2017/7/23,14,12
4,2542,2017/7/24,5,8
4,2542,2017/7/25,11,11
4,2542,2017/7/26,3,5
4,2542,2017/7/27,12,10
4,2542,2017/7/28,7,9
4,2542,2017/7/29,5,3
4,2542,2017/7/30,6,4.5
5,2548,2017/7/1,14,5
5,2548,2017/7/2,14,14
5,2548,2017/7/3,10,5
5,2548,2017/7/4,15,9
5,2548,2017/7/5,5,1
5,2548,2017/7/6,6,7
5,2548,2017/7/7,16,11
5,2548,2017/7/8,11,10
5,2548,2017/7/9,8,5
5,2548,2017/7/10,13,11
5,2548,2017/7/11,6,5
5,2548,2017/7/12,16,18
5,2548,2017/7/13,15,11
5,2548,2017/7/14,19,13
5,2548,2017/7/15,11,22
5,2548,2017/7/16,9,6
5,2548,2017/7/17,9,3
5,2548,2017/7/18,5,4
5,2548,2017/7/19,14,11
5,2548,2017/7/20,14,16
5,2548,2017/7/21,7,8
5,2548,2017/7/22,5,4
5,2548,2017/7/23,3,1
5,2548,2017/7/24,12,9
5,2548,2017/7/25,6,3
5,2548,2017/7/26,4,4
5,2548,2017/7/27,6,4
5,2548,2017/7/28,10,9
5,2548,2017/7/29,6,4
5,2548,2017/7/30,8.5,7.5
6,2565,2017/7/1,14,11
6,2565,2017/7/2,9,10
6,2565,2017/7/3,15,12
6,2565,2017/7/4,4,4
6,2565,2017/7/5,1,2
6,2565,2017/7/6,5,7
6,2565,2017/7/7,8,11
6,2565,2017/7/8,4,8
6,2565,2017/7/9,5,11
6,2565,2017/7/10,1,1
6,2565,2017/7/11,2,4
6,2565,2017/7/12,1,2
6,2565,2017/7/13,9,4
6,2565,2017/7/14,4,8
6,2565,2017/7/15,3,10
6,2565,2017/7/16,3,1
6,2565,2017/7/17,2,2
6,2565,2017/7/18,1,2
6,2565,2017/7/19,4,1
6,2565,2017/7/20,3,6.5
6,2565,2017/7/21,2,12
6,2565,2017/7/22,6,5
6,2565,2017/7/23,1,5
6,2565,2017/7/24,4,4
6,2565,2017/7/25,1,2
6,2565,2017/7/26,3,5
6,2565,2017/7/27,3,2
6,2565,2017/7/28,4,5
6,2565,2017/7/29,8,10
6,2565,2017/7/30,7.5,9.5
7,2566,2017/7/1,39,44
7,2566,2017/7/2,11,12
7,2566,2017/7/3,22,22
7,2566,2017/7/4,10,6
7,2566,2017/7/5,12,12
7,2566,2017/7/6,12,16
7,2566,2017/7/7,13,15
7,2566,2017/7/8,16,14
7,2566,2017/7/9,18,11
7,2566,2017/7/10,12,19
7,2566,2017/7/11,11,16
7,2566,2017/7/12,14,15
7,2566,2017/7/13,16,17
7,2566,2017/7/14,28,19
7,2566,2017/7/15,15,13
7,2566,2017/7/16,14,13
7,2566,2017/7/17,10,10
7,2566,2017/7/18,2,5
7,2566,2017/7/19,11,16
7,2566,2017/7/20,15,13
7,2566,2017/7/21,20,17
7,2566,2017/7/22,24,21
7,2566,2017/7/23,6,7
7,2566,2017/7/24,16,11
7,2566,2017/7/25,12,14
7,2566,2017/7/26,17,21
7,2566,2017/7/27,4,6
7,2566,2017/7/28,8,15
7,2566,2017/7/29,8,11
7,2566,2017/7/30,10.5,10
8,2571,2017/7/1,11,11
8,2571,2017/7/2,16,14
8,2571,2017/7/3,7,6
8,2571,2017/7/4,9,9
8,2571,2017/7/5,7,5
8,2571,2017/7/6,12,14
8,2571,2017/7/7,16,11
8,2571,2017/7/8,6,6
8,2571,2017/7/9,3,3
8,2571,2017/7/10,2,2
8,2571,2017/7/11,2,2
8,2571,2017/7/12,3,1
8,2571,2017/7/13,4,8
8,2571,2017/7/14,3,3
8,2571,2017/7/15,4,3
8,2571,2017/7/16,1,1
8,2571,2017/7/17,4,1
8,2571,2017/7/18,2,2
8,2571,2017/7/19,1,2
8,2571,2017/7/20,1,2
8,2571,2017/7/21,3,2
8,2571,2017/7/22,9,8
8,2571,2017/7/23,2,5
8,2571,2017/7/24,4,7
8,2571,2017/7/25,7,11
8,2571,2017/7/26,5.5,7.5
8,2571,2017/7/27,4,4
8,2571,2017/7/28,7,6
8,2571,2017/7/29,16,10
8,2571,2017/7/30,14,10
9,2707,2017/7/1,44,36
9,2707,2017/7/2,30,30
9,2707,2017/7/3,40,41
9,2707,2017/7/4,13,14
9,2707,2017/7/5,11,6
9,2707,2017/7/6,4,10
9,2707,2017/7/7,17,17
9,2707,2017/7/8,23,14
9,2707,2017/7/9,15,17
9,2707,2017/7/10,14,18
9,2707,2017/7/11,23,27
9,2707,2017/7/12,23,23
9,2707,2017/7/13,33,31
9,2707,2017/7/14,30,22
9,2707,2017/7/15,26,29
9,2707,2017/7/16,28,20
9,2707,2017/7/17,18,16
9,2707,2017/7/18,12,17
9,2707,2017/7/19,20,18
9,2707,2017/7/20,28,23
9,2707,2017/7/21,30,21
9,2707,2017/7/22,21,21
9,2707,2017/7/23,8,10
9,2707,2017/7/24,14,10
9,2707,2017/7/25,14,15
9,2707,2017/7/26,13,12
9,2707,2017/7/27,26,21
9,2707,2017/7/28,23,19
9,2707,2017/7/29,24,18
9,2707,2017/7/30,16,14.5
10,3377,2017/7/1,25,24
10,3377,2017/7/2,27,31
10,3377,2017/7/3,34,34
10,3377,2017/7/4,15,18
10,3377,2017/7/5,11,14
10,3377,2017/7/6,14,10
10,3377,2017/7/7,27,30
10,3377,2017/7/8,12,11
10,3377,2017/7/9,6,8
10,3377,2017/7/10,13,11
10,3377,2017/7/11,6,6
10,3377,2017/7/12,18,20
10,3377,2017/7/13,12,14
10,3377,2017/7/14,29,26
10,3377,2017/7/15,19,23
10,3377,2017/7/16,6,5
10,3377,2017/7/17,20,16
10,3377,2017/7/18,7,6
10,3377,2017/7/19,11,9
10,3377,2017/7/20,7,3
10,3377,2017/7/21,41,46
10,3377,2017/7/22,22,21
10,3377,2017/7/23,12,9
10,3377,2017/7/24,2,5
10,3377,2017/7/25,6,5
10,3377,2017/7/26,5,7
10,3377,2017/7/27,11,7
10,3377,2017/7/28,16,9
10,3377,2017/7/29,19,15
10,3377,2017/7/30,18.813953488372093,14.767441860465116
11,3513,2017/7/1,13,17
11,3513,2017/7/2,30,23
11,3513,2017/7/3,13,20
11,3513,2017/7/4,6,10
11,3513,2017/7/5,13,14
11,3513,2017/7/6,6,8
11,3513,2017/7/7,20,16
11,3513,2017/7/8,13,9
11,3513,2017/7/9,9,12
11,3513,2017/7/10,6,4
11,3513,2017/7/11,20,25
11,3513,2017/7/12,8,11
11,3513,2017/7/13,26,29
11,3513,2017/7/14,15,5
11,3513,2017/7/15,7,8
11,3513,2017/7/16,6,5
11,3513,2017/7/17,10,11
11,3513,2017/7/18,6,9
11,3513,2017/7/19,8,6
11,3513,2017/7/20,12,9
11,3513,2017/7/21,4,14
11,3513,2017/7/22,6,12
11,3513,2017/7/23,7,5
11,3513,2017/7/24,16,18
11,3513,2017/7/25,13,16
11,3513,2017/7/26,8,8
11,3513,2017/7/27,13,16
11,3513,2017/7/28,7,12
11,3513,2017/7/29,6,11
11,3513,2017/7/30,6,11
12,2503,2017/7/1,15,16
12,2503,2017/7/2,16,17
12,2503,2017/7/3,11,10
12,2503,2017/7/4,5,5
12,2503,2017/7/5,2,1
12,2503,2017/7/6,7.5,6
12,2503,2017/7/7,13,11
12,2503,2017/7/8,7,5
12,2503,2017/7/9,5,3
12,2503,2017/7/10,1,2
12,2503,2017/7/11,1,1
12,2503,2017/7/12,4,3
12,2503,2017/7/13,9,11
12,2503,2017/7/14,11,5
12,2503,2017/7/15,4,8
12,2503,2017/7/16,5,4
12,2503,2017/7/17,2,1
12,2503,2017/7/18,3,8
12,2503,2017/7/19,6,8
12,2503,2017/7/20,9,8
12,2503,2017/7/21,12,8
12,2503,2017/7/22,4,5
12,2503,2017/7/23,9,5
12,2503,2017/7/24,9,8
12,2503,2017/7/25,5,2
12,2503,2017/7/26,4,3
12,2503,2017/7/27,12,8
12,2503,2017/7/28,8,3
12,2503,2017/7/29,8.333333333333334,3.333333333333333
12,2503,2017/7/30,8.666666666666666,3.6666666666666665
13,2574,2017/7/1,20,29
13,2574,2017/7/2,3,4
13,2574,2017/7/3,4,28
13,2574,2017/7/4,12,10
13,2574,2017/7/5,3,5
13,2574,2017/7/6,10,10
13,2574,2017/7/7,33,39
13,2574,2017/7/8,18,17
13,2574,2017/7/9,7,9
13,2574,2017/7/10,10,13
13,2574,2017/7/11,35,43
13,2574,2017/7/12,5,9
13,2574,2017/7/13,15,22
13,2574,2017/7/14,16,27
13,2574,2017/7/15,26,25
13,2574,2017/7/16,4,9
13,2574,2017/7/17,12,10
13,2574,2017/7/18,14,11
13,2574,2017/7/19,14,19
13,2574,2017/7/20,10,9
13,2574,2017/7/21,33,37
13,2574,2017/7/22,16,18
13,2574,2017/7/23,15,20
13,2574,2017/7/24,13,15
13,2574,2017/7/25,4,4
13,2574,2017/7/26,5,4
13,2574,2017/7/27,8,13
13,2574,2017/7/28,20,33
13,2574,2017/7/29,10,8
13,2574,2017/7/30,10.5,11.5
14,2562,2017/7/1,12,12
14,2562,2017/7/2,6,2
14,2562,2017/7/3,8,6
14,2562,2017/7/4,4,3
14,2562,2017/7/5,3,4
14,2562,2017/7/6,1,1
14,2562,2017/7/7,4,5
14,2562,2017/7/8,4,4
14,2562,2017/7/9,4,3
14,2562,2017/7/10,4,6
14,2562,2017/7/11,5.5,7
14,2562,2017/7/12,7,8
14,2562,2017/7/13,1,1
14,2562,2017/7/14,8,7
14,2562,2017/7/15,8,6
14,2562,2017/7/16,5,3
14,2562,2017/7/17,1,4
14,2562,2017/7/18,1,1
14,2562,2017/7/19,2,3
14,2562,2017/7/20,1,2
14,2562,2017/7/21,4,10
14,2562,2017/7/22,9,3
14,2562,2017/7/23,1,2
14,2562,2017/7/24,2,3
14,2562,2017/7/25,3,3
14,2562,2017/7/26,2,2
14,2562,2017/7/27,7,4
14,2562,2017/7/28,3,1
14,2562,2017/7/29,2,2
14,2562,2017/7/30,3.5,6
15,2570,2017/7/1,14,26
15,2570,2017/7/2,20,25
15,2570,2017/7/3,10,6
15,2570,2017/7/4,3,2
15,2570,2017/7/5,9,9
15,2570,2017/7/6,2,9
15,2570,2017/7/7,8,14
15,2570,2017/7/8,9,7
15,2570,2017/7/9,2,6
15,2570,2017/7/10,3,6
15,2570,2017/7/11,7,5
15,2570,2017/7/12,5,9
15,2570,2017/7/13,10,10
15,2570,2017/7/14,5,7
15,2570,2017/7/15,2,6
15,2570,2017/7/16,2,7
15,2570,2017/7/17,4,6
15,2570,2017/7/18,4,4
15,2570,2017/7/19,6,4
15,2570,2017/7/20,4,3
15,2570,2017/7/21,8,10
15,2570,2017/7/22,3,1
15,2570,2017/7/23,6,4
15,2570,2017/7/24,11,12
15,2570,2017/7/25,7,7
15,2570,2017/7/26,7,1
15,2570,2017/7/27,5,9
15,2570,2017/7/28,4,11
15,2570,2017/7/29,13,14
15,2570,2017/7/30,7,9
16,2575,2017/7/1,46,42
16,2575,2017/7/2,35,35
16,2575,2017/7/3,30,36
16,2575,2017/7/4,13,16
16,2575,2017/7/5,8,15
16,2575,2017/7/6,4,12
16,2575,2017/7/7,35,34
16,2575,2017/7/8,22,23
16,2575,2017/7/9,26,27
16,2575,2017/7/10,20,22
16,2575,2017/7/11,18,22
16,2575,2017/7/12,12,10
16,2575,2017/7/13,8,8
16,2575,2017/7/14,9.666666666666666,10
16,2575,2017/7/15,11.333333333333334,12
16,2575,2017/7/16,13,14
16,2575,2017/7/17,24,25
16,2575,2017/7/18,5,5
16,2575,2017/7/19,19,20
16,2575,2017/7/20,20,22
16,2575,2017/7/21,30,32
16,2575,2017/7/22,23,25
16,2575,2017/7/23,8,12
16,2575,2017/7/24,22,22
16,2575,2017/7/25,14,12
16,2575,2017/7/26,16,17
16,2575,2017/7/27,15,12
16,2575,2017/7/28,14,12
16,2575,2017/7/29,21,20
16,2575,2017/7/30,19,17.5
17,2822,2017/7/1,5,2
17,2822,2017/7/2,5,4
17,2822,2017/7/3,12,10
17,2822,2017/7/4,4,4
17,2822,2017/7/5,6,8
17,2822,2017/7/6,6,6
17,2822,2017/7/7,6,6
17,2822,2017/7/8,6,1
17,2822,2017/7/9,11,9
17,2822,2017/7/10,14,11
17,2822,2017/7/11,7,3
17,2822,2017/7/12,5,4
17,2822,2017/7/13,6,4
17,2822,2017/7/14,6,3.5
17,2822,2017/7/15,6,3
17,2822,2017/7/16,9,6
17,2822,2017/7/17,11,7
17,2822,2017/7/18,6,5
17,2822,2017/7/19,6,5
17,2822,2017/7/20,7,6
17,2822,2017/7/21,10,8
17,2822,2017/7/22,2,3
17,2822,2017/7/23,5,8
17,2822,2017/7/24,2,3
17,2822,2017/7/25,6,7
17,2822,2017/7/26,5,3
17,2822,2017/7/27,4,4
17,2822,2017/7/28,2,4
17,2822,2017/7/29,4,2
17,2822,2017/7/30,7,4.5
18,2567,2017/7/1,11,15
18,2567,2017/7/2,14,9
18,2567,2017/7/3,18,22
18,2567,2017/7/4,6,5
18,2567,2017/7/5,4,4
18,2567,2017/7/6,13,8
18,2567,2017/7/7,2,2
18,2567,2017/7/8,11,8
18,2567,2017/7/9,8,7
18,2567,2017/7/10,13,14
18,2567,2017/7/11,9,6
18,2567,2017/7/12,7,7
18,2567,2017/7/13,20,21
18,2567,2017/7/14,3,6
18,2567,2017/7/15,12,10
18,2567,2017/7/16,4,9
18,2567,2017/7/17,18,13
18,2567,2017/7/18,7,9
18,2567,2017/7/19,4,4
18,2567,2017/7/20,5,3
18,2567,2017/7/21,5,4
18,2567,2017/7/22,5,5
18,2567,2017/7/23,12,9
18,2567,2017/7/24,7,10
18,2567,2017/7/25,9,11
18,2567,2017/7/26,4,4
18,2567,2017/7/27,9,9
18,2567,2017/7/28,9,7
18,2567,2017/7/29,12,11
18,2567,2017/7/30,9.5,9
19,2539,2017/7/1,31,25
19,2539,2017/7/2,27,25
19,2539,2017/7/3,22,25
19,2539,2017/7/4,17,18
19,2539,2017/7/5,10,14
19,2539,2017/7/6,19,10
19,2539,2017/7/7,20,28
19,2539,2017/7/8,18,15
19,2539,2017/7/9,7,8
19,2539,2017/7/10,10,13
19,2539,2017/7/11,8,6
19,2539,2017/7/12,4,7
19,2539,2017/7/13,9,8
19,2539,2017/7/14,4,2
19,2539,2017/7/15,11,14
19,2539,2017/7/16,7,7
19,2539,2017/7/17,5,8
19,2539,2017/7/18,12,6
19,2539,2017/7/19,5,6
19,2539,2017/7/20,6,6
19,2539,2017/7/21,17,17
19,2539,2017/7/22,12,12
19,2539,2017/7/23,11,9
19,2539,2017/7/24,12,10
19,2539,2017/7/25,11,14
19,2539,2017/7/26,6,5
19,2539,2017/7/27,11,12
19,2539,2017/7/28,11,4
19,2539,2017/7/29,7,8
19,2539,2017/7/30,6.5,7
20,2569,2017/7/1,7,6
20,2569,2017/7/2,5,4
20,2569,2017/7/3,4.5,5
20,2569,2017/7/4,4,6
20,2569,2017/7/5,7,3
20,2569,2017/7/6,6,3
20,2569,2017/7/7,5,8
20,2569,2017/7/8,8,5
20,2569,2017/7/9,5,2
20,2569,2017/7/10,10,5
20,2569,2017/7/11,10,6
20,2569,2017/7/12,9,5
20,2569,2017/7/13,4,4
20,2569,2017/7/14,4,3
20,2569,2017/7/15,4,4
20,2569,2017/7/16,4.5,4
20,2569,2017/7/17,5,4
20,2569,2017/7/18,4,3.5
20,2569,2017/7/19,3,3
20,2569,2017/7/20,4,1
20,2569,2017/7/21,2,1
20,2569,2017/7/22,4,5
20,2569,2017/7/23,3,2
20,2569,2017/7/24,3,2
20,2569,2017/7/25,9,4
20,2569,2017/7/26,5,5
20,2569,2017/7/27,5,3
20,2569,2017/7/28,5,2
20,2569,2017/7/29,5,1
20,2569,2017/7/30,5,2
21,2502,2017/7/1,8,6
21,2502,2017/7/2,12,11
21,2502,2017/7/3,12,21
21,2502,2017/7/4,7,5
21,2502,2017/7/5,3,4
21,2502,2017/7/6,7,10
21,2502,2017/7/7,12,15
21,2502,2017/7/8,7,8
21,2502,2017/7/9,7,6
21,2502,2017/7/10,6,5
21,2502,2017/7/11,9,5
21,2502,2017/7/12,11,7
21,2502,2017/7/13,7,9
21,2502,2017/7/14,9,13
21,2502,2017/7/15,12,3
21,2502,2017/7/16,6,3
21,2502,2017/7/17,4,5
21,2502,2017/7/18,4,3
21,2502,2017/7/19,9,10
21,2502,2017/7/20,4,3
21,2502,2017/7/21,15,14
21,2502,2017/7/22,11,11
21,2502,2017/7/23,16,10
21,2502,2017/7/24,8,7
21,2502,2017/7/25,3,4
21,2502,2017/7/26,7,7
21,2502,2017/7/27,7,8
21,2502,2017/7/28,6,7
21,2502,2017/7/29,4,5
21,2502,2017/7/30,5,4
22,2711,2017/7/1,16,22
22,2711,2017/7/2,26,24
22,2711,2017/7/3,10,13
22,2711,2017/7/4,14,12
22,2711,2017/7/5,10,10
22,2711,2017/7/6,2,3
22,2711,2017/7/7,17,17
22,2711,2017/7/8,7,7
22,2711,2017/7/9,2,4
22,2711,2017/7/10,5,4
22,2711,2017/7/11,17,21
22,2711,2017/7/12,12,12
22,2711,2017/7/13,17,15
22,2711,2017/7/14,12,12
22,2711,2017/7/15,7,5
22,2711,2017/7/16,5,2
22,2711,2017/7/17,9,10
22,2711,2017/7/18,6,5
22,2711,2017/7/19,5,7
22,2711,2017/7/20,15,17
22,2711,2017/7/21,11,12
22,2711,2017/7/22,12,6
22,2711,2017/7/23,9,6
22,2711,2017/7/24,6,6
22,2711,2017/7/25,1,6
22,2711,2017/7/26,3,4
22,2711,2017/7/27,7,6
22,2711,2017/7/28,12,13
22,2711,2017/7/29,7,11
22,2711,2017/7/30,5,8.5
23,2496,2017/7/1,8,10
23,2496,2017/7/2,11,18
23,2496,2017/7/3,9,6
23,2496,2017/7/4,7,8
23,2496,2017/7/5,16,10
23,2496,2017/7/6,4,9
23,2496,2017/7/7,5,6
23,2496,2017/7/8,4,1
23,2496,2017/7/9,7,3
23,2496,2017/7/10,7,7
23,2496,2017/7/11,9,6
23,2496,2017/7/12,8,3
23,2496,2017/7/13,6,6
23,2496,2017/7/14,4,2
23,2496,2017/7/15,5,3
23,2496,2017/7/16,7,4
23,2496,2017/7/17,8,6
23,2496,2017/7/18,6,2
23,2496,2017/7/19,4,3
23,2496,2017/7/20,8,6
23,2496,2017/7/21,9,9
23,2496,2017/7/22,4,4
23,2496,2017/7/23,4,5
23,2496,2017/7/24,7,2
23,2496,2017/7/25,8,8
23,2496,2017/7/26,9,6
23,2496,2017/7/27,5,7
23,2496,2017/7/28,4,3
23,2496,2017/7/29,6,5
23,2496,2017/7/30,15,14.5
24,2497,2017/7/1,31,19
24,2497,2017/7/2,29,28
24,2497,2017/7/3,28,25
24,2497,2017/7/4,6,8
24,2497,2017/7/5,4,3
24,2497,2017/7/6,5,5
24,2497,2017/7/7,23,19
24,2497,2017/7/8,16,12
24,2497,2017/7/9,7,5
24,2497,2017/7/10,5,4
24,2497,2017/7/11,8,9
24,2497,2017/7/12,11,11
24,2497,2017/7/13,12,10
24,2497,2017/7/14,10,16
24,2497,2017/7/15,6,6
24,2497,2017/7/16,17,10
24,2497,2017/7/17,14,11
24,2497,2017/7/18,2,3
24,2497,2017/7/19,3,2
24,2497,2017/7/20,14,9
24,2497,2017/7/21,15,11
24,2497,2017/7/22,12,7
24,2497,2017/7/23,5,3
24,2497,2017/7/24,7,5
24,2497,2017/7/25,9,10
24,2497,2017/7/26,7,9
24,2497,2017/7/27,7,12
24,2497,2017/7/28,20,12
24,2497,2017/7/29,10,3
24,2497,2017/7/30,15,12.5
25,2499,2017/7/1,39,32
25,2499,2017/7/2,34,45
25,2499,2017/7/3,24,21
25,2499,2017/7/4,8,12
25,2499,2017/7/5,19,16
25,2499,2017/7/6,23,14
25,2499,2017/7/7,7,9
25,2499,2017/7/8,7,16
25,2499,2017/7/9,16,14
25,2499,2017/7/10,16,20
25,2499,2017/7/11,26,29
25,2499,2017/7/12,20,15
25,2499,2017/7/13,17,18
25,2499,2017/7/14,11,12
25,2499,2017/7/15,23,25
25,2499,2017/7/16,9,14
25,2499,2017/7/17,13,15
25,2499,2017/7/18,6,10
25,2499,2017/7/19,15,19
25,2499,2017/7/20,22,21
25,2499,2017/7/21,13,17
25,2499,2017/7/22,22,25
25,2499,2017/7/23,18,19
25,2499,2017/7/24,32,33
25,2499,2017/7/25,13,17
25,2499,2017/7/26,19,18
25,2499,2017/7/27,9,14
25,2499,2017/7/28,15,15
25,2499,2017/7/29,11,17
25,2499,2017/7/30,15,18
26,2549,2017/7/1,16,17
26,2549,2017/7/2,16,19
26,2549,2017/7/3,33,35
26,2549,2017/7/4,6,10
26,2549,2017/7/5,8,11
26,2549,2017/7/6,3,9
26,2549,2017/7/7,17,15
26,2549,2017/7/8,5,7
26,2549,2017/7/9,8,12
26,2549,2017/7/10,13,14
26,2549,2017/7/11,12,13
26,2549,2017/7/12,10,10
26,2549,2017/7/13,11,15
26,2549,2017/7/14,20,18
26,2549,2017/7/15,15,20
26,2549,2017/7/16,18,18
26,2549,2017/7/17,7,11
26,2549,2017/7/18,15,9
26,2549,2017/7/19,17,23
26,2549,2017/7/20,17,17
26,2549,2017/7/21,6,9
26,2549,2017/7/22,4,8
26,2549,2017/7/23,11,15
26,2549,2017/7/24,17,17
26,2549,2017/7/25,16,16
26,2549,2017/7/26,17,21
26,2549,2017/7/27,9,4
26,2549,2017/7/28,12,10
26,2549,2017/7/29,5,6
26,2549,2017/7/30,10,10.5
27,2547,2017/7/1,2,11
27,2547,2017/7/2,11,9
27,2547,2017/7/3,3,5
27,2547,2017/7/4,1,4
27,2547,2017/7/5,1.1333333333333333,4
27,2547,2017/7/6,1.2666666666666666,4
27,2547,2017/7/7,1.4,4
27,2547,2017/7/8,1.5333333333333332,4
27,2547,2017/7/9,1.6666666666666663,4
27,2547,2017/7/10,1.8,4
27,2547,2017/7/11,1.9333333333333331,4
27,2547,2017/7/12,2.0666666666666664,4
27,2547,2017/7/13,2.2,4
27,2547,2017/7/14,2.333333333333333,4
27,2547,2017/7/15,2.466666666666667,4
27,2547,2017/7/16,2.6,4
27,2547,2017/7/17,2.7333333333333334,4
27,2547,2017/7/18,2.8666666666666667,4
27,2547,2017/7/19,3,4
27,2547,2017/7/20,6,3
27,2547,2017/7/21,5,4
27,2547,2017/7/22,6,6
27,2547,2017/7/23,6,11
27,2547,2017/7/24,3,5
27,2547,2017/7/25,3,4
27,2547,2017/7/26,2,3
27,2547,2017/7/27,3,3.5
27,2547,2017/7/28,4,4
27,2547,2017/7/29,1,2
27,2547,2017/7/30,9,9
28,2494,2017/7/1,37,42
28,2494,2017/7/2,46,49
28,2494,2017/7/3,45,31
28,2494,2017/7/4,30,36
28,2494,2017/7/5,30,31
28,2494,2017/7/6,15,18
28,2494,2017/7/7,18,17
28,2494,2017/7/8,22,15
28,2494,2017/7/9,11,13
28,2494,2017/7/10,7,8
28,2494,2017/7/11,17,20
28,2494,2017/7/12,16,16
28,2494,2017/7/13,17,23
28,2494,2017/7/14,13,10
28,2494,2017/7/15,18,16
28,2494,2017/7/16,16,15
28,2494,2017/7/17,13,16
28,2494,2017/7/18,13,12
28,2494,2017/7/19,17,15
28,2494,2017/7/20,12,12
28,2494,2017/7/21,10,6
28,2494,2017/7/22,8,6
28,2494,2017/7/23,18,20
28,2494,2017/7/24,15,22
28,2494,2017/7/25,14,10
28,2494,2017/7/26,11,12
28,2494,2017/7/27,12,10
28,2494,2017/7/28,12,14
28,2494,2017/7/29,18,17
28,2494,2017/7/30,20.5,21.5
29,2495,2017/7/1,13,10
29,2495,2017/7/2,22,23
29,2495,2017/7/3,18,16
29,2495,2017/7/4,11,7
29,2495,2017/7/5,13,17
29,2495,2017/7/6,7,7
29,2495,2017/7/7,13,20
29,2495,2017/7/8,3,2
29,2495,2017/7/9,12,17
29,2495,2017/7/10,16,14
29,2495,2017/7/11,16,16
29,2495,2017/7/12,21,17
29,2495,2017/7/13,15,19
29,2495,2017/7/14,16,9
29,2495,2017/7/15,11,13
29,2495,2017/7/16,12,18
29,2495,2017/7/17,18,16
29,2495,2017/7/18,11,11
29,2495,2017/7/19,11,8
29,2495,2017/7/20,10,18
