Station,stationid,date,in_bike,out_bike
4,2542,2017/7/13,10,12
4,2542,2017/7/14,12,9
4,2542,2017/7/15,11,10
4,2542,2017/7/16,8,7
4,2542,2017/7/17,10,8
4,2542,2017/7/18,9,6
4,2542,2017/7/19,6,7
4,2542,2017/7/20,7,8
4,2542,2017/7/21,8,8
4,2542,2017/7/22,9,5
4,2542,2017/7/23,10,7
4,2542,2017/7/24,8,9
4,2542,2017/7/25,8,9
4,2542,2017/7/26,7,6
4,2542,2017/7/27,8,8
4,2542,2017/7/28,7,6
4,2542,2017/7/29,9,4
4,2542,2017/7/30,9,9
4,2542,2017/7/31,7,6
5,2548,2017/7/2,12,9
5,2548,2017/7/3,9,10
5,2548,2017/7/4,9,11
5,2548,2017/7/5,8,14
5,2548,2017/7/6,9,9
5,2548,2017/7/7,8,8
5,2548,2017/7/8,10,8
5,2548,2017/7/9,13,12
5,2548,2017/7/10,10,9
5,2548,2017/7/11,7,10
5,2548,2017/7/12,8,7
5,2548,2017/7/13,7,9
5,2548,2017/7/14,10,11
5,2548,2017/7/15,12,11
5,2548,2017/7/16,12,9
5,2548,2017/7/17,12,11
5,2548,2017/7/18,9,9
5,2548,2017/7/19,8,9
5,2548,2017/7/20,8,10
5,2548,2017/7/21,10,9
5,2548,2017/7/22,13,7
5,2548,2017/7/23,10,10
5,2548,2017/7/24,7,6
5,2548,2017/7/25,6,9
5,2548,2017/7/26,8,10
5,2548,2017/7/27,8,9
5,2548,2017/7/28,8,6
5,2548,2017/7/29,8,2
5,2548,2017/7/30,7,12
5,2548,2017/7/31,5,2
6,2565,2017/7/2,5,7
6,2565,2017/7/3,6,8
6,2565,2017/7/4,5,4
6,2565,2017/7/5,7,8
6,2565,2017/7/6,6,7
6,2565,2017/7/7,5,4
6,2565,2017/7/8,7,9
6,2565,2017/7/9,8,3
6,2565,2017/7/10,7,6
6,2565,2017/7/11,5,9
6,2565,2017/7/12,4,6
6,2565,2017/7/13,4,5
6,2565,2017/7/14,5,4
6,2565,2017/7/15,7,7
6,2565,2017/7/16,7,6
6,2565,2017/7/17,5,5
6,2565,2017/7/18,3,8
6,2565,2017/7/19,4,3
6,2565,2017/7/20,3,6
6,2565,2017/7/21,4,4
6,2565,2017/7/22,6,8
6,2565,2017/7/23,5,5
6,2565,2017/7/24,4,6
6,2565,2017/7/25,3,5
6,2565,2017/7/26,4,3
6,2565,2017/7/27,3,3
6,2565,2017/7/28,5,4
6,2565,2017/7/29,4,4
6,2565,2017/7/30,5,4
6,2565,2017/7/31,5,5
7,2566,2017/7/2,18,14
7,2566,2017/7/3,20,20
7,2566,2017/7/4,11,18
7,2566,2017/7/5,13,17
7,2566,2017/7/6,13,14
7,2566,2017/7/7,14,14
7,2566,2017/7/8,18,14
7,2566,2017/7/9,19,16
7,2566,2017/7/10,14,16
7,2566,2017/7/11,11,16
7,2566,2017/7/12,10,14
7,2566,2017/7/13,11,13
7,2566,2017/7/14,12,11
7,2566,2017/7/15,18,14
7,2566,2017/7/16,20,15
7,2566,2017/7/17,15,16
7,2566,2017/7/18,10,11
7,2566,2017/7/19,10,15
7,2566,2017/7/20,9,12
7,2566,2017/7/21,13,14
7,2566,2017/7/22,17,12
7,2566,2017/7/23,19,15
7,2566,2017/7/24,15,16
7,2566,2017/7/25,9,12
7,2566,2017/7/26,10,13
7,2566,2017/7/27,11,12
7,2566,2017/7/28,14,12
7,2566,2017/7/29,14,13
7,2566,2017/7/30,15,7
7,2566,2017/7/31,10,10
8,2571,2017/7/2,7,8
8,2571,2017/7/3,7,6
8,2571,2017/7/4,6,7
8,2571,2017/7/5,6,5
8,2571,2017/7/6,6,8
8,2571,2017/7/7,6,4
8,2571,2017/7/8,10,2
8,2571,2017/7/9,11,10
8,2571,2017/7/10,8,7
8,2571,2017/7/11,5,10
8,2571,2017/7/12,4,9
8,2571,2017/7/13,5,6
8,2571,2017/7/14,6,3
8,2571,2017/7/15,7,4
8,2571,2017/7/16,6,5
8,2571,2017/7/17,4,5
8,2571,2017/7/18,3,6
8,2571,2017/7/19,4,6
8,2571,2017/7/20,4,2
8,2571,2017/7/21,4,3
8,2571,2017/7/22,4,6
8,2571,2017/7/23,4,6
8,2571,2017/7/24,5,5
8,2571,2017/7/25,3,4
8,2571,2017/7/26,3,4
8,2571,2017/7/27,4,6
8,2571,2017/7/28,5,6
8,2571,2017/7/29,5,7
8,2571,2017/7/30,6,4
8,2571,2017/7/31,7,9
9,2707,2017/7/2,29,23
9,2707,2017/7/3,22,26
9,2707,2017/7/4,17,24
9,2707,2017/7/5,23,27
9,2707,2017/7/6,19,22
9,2707,2017/7/7,24,23
9,2707,2017/7/8,30,21
9,2707,2017/7/9,31,19
9,2707,2017/7/10,18,16
9,2707,2017/7/11,13,20
9,2707,2017/7/12,13,17
9,2707,2017/7/13,16,17
9,2707,2017/7/14,17,20
9,2707,2017/7/15,26,19
9,2707,2017/7/16,27,21
9,2707,2017/7/17,22,22
9,2707,2017/7/18,18,22
9,2707,2017/7/19,18,24
9,2707,2017/7/20,18,19
9,2707,2017/7/21,20,16
9,2707,2017/7/22,23,22
9,2707,2017/7/23,25,18
9,2707,2017/7/24,20,22
9,2707,2017/7/25,16,19
9,2707,2017/7/26,17,16
9,2707,2017/7/27,17,17
9,2707,2017/7/28,18,18
9,2707,2017/7/29,22,17
9,2707,2017/7/30,20,18
9,2707,2017/7/31,18,17
10,3377,2017/7/2,19,13
10,3377,2017/7/3,14,19
10,3377,2017/7/4,13,17
10,3377,2017/7/5,16,21
10,3377,2017/7/6,14,13
10,3377,2017/7/7,15,17
10,3377,2017/7/8,21,18
10,3377,2017/7/9,27,20
10,3377,2017/7/10,16,14
10,3377,2017/7/11,11,17
10,3377,2017/7/12,10,16
10,3377,2017/7/13,12,12
10,3377,2017/7/14,17,10
10,3377,2017/7/15,18,12
10,3377,2017/7/16,22,18
10,3377,2017/7/17,16,16
10,3377,2017/7/18,11,13
10,3377,2017/7/19,13,15
10,3377,2017/7/20,12,12
10,3377,2017/7/21,14,13
10,3377,2017/7/22,15,11
10,3377,2017/7/23,22,18
10,3377,2017/7/24,16,16
10,3377,2017/7/25,12,16
10,3377,2017/7/26,10,15
10,3377,2017/7/27,10,12
10,3377,2017/7/28,14,9
10,3377,2017/7/29,18,8
10,3377,2017/7/30,15,16
10,3377,2017/7/31,11,13
11,3513,2017/7/2,14,13
11,3513,2017/7/3,9,9
11,3513,2017/7/4,12,17
11,3513,2017/7/5,12,14
11,3513,2017/7/6,11,12
11,3513,2017/7/7,14,11
11,3513,2017/7/8,15,11
11,3513,2017/7/9,16,13
11,3513,2017/7/10,11,13
11,3513,2017/7/11,9,15
11,3513,2017/7/12,7,7
11,3513,2017/7/13,12,17
11,3513,2017/7/14,12,12
11,3513,2017/7/15,19,12
11,3513,2017/7/16,15,10
11,3513,2017/7/17,10,12
11,3513,2017/7/18,8,12
11,3513,2017/7/19,10,11
11,3513,2017/7/20,10,7
11,3513,2017/7/21,11,9
11,3513,2017/7/22,12,10
11,3513,2017/7/23,10,8
11,3513,2017/7/24,8,11
11,3513,2017/7/25,7,6
11,3513,2017/7/26,10,10
11,3513,2017/7/27,12,9
11,3513,2017/7/28,9,7
11,3513,2017/7/29,10,12
11,3513,2017/7/30,9,12
11,3513,2017/7/31,8,12
12,2503,2017/7/2,12,7
12,2503,2017/7/3,9,9
12,2503,2017/7/4,6,7
12,2503,2017/7/5,7,8
12,2503,2017/7/6,6,10
12,2503,2017/7/7,7,5
12,2503,2017/7/8,11,8
12,2503,2017/7/9,15,10
12,2503,2017/7/10,8,10
12,2503,2017/7/11,5,8
12,2503,2017/7/12,3,4
12,2503,2017/7/13,4,5
12,2503,2017/7/14,6,6
12,2503,2017/7/15,11,5
12,2503,2017/7/16,9,5
12,2503,2017/7/17,6,8
12,2503,2017/7/18,3,7
12,2503,2017/7/19,3,7
12,2503,2017/7/20,5,5
12,2503,2017/7/21,7,6
12,2503,2017/7/22,8,5
12,2503,2017/7/23,9,7
12,2503,2017/7/24,6,6
12,2503,2017/7/25,5,6
12,2503,2017/7/26,6,8
12,2503,2017/7/27,4,7
12,2503,2017/7/28,6,8
12,2503,2017/7/29,9,6
12,2503,2017/7/30,7,5
12,2503,2017/7/31,6,8
13,2574,2017/7/2,25,18
13,2574,2017/7/3,17,16
13,2574,2017/7/4,11,17
13,2574,2017/7/5,12,15
13,2574,2017/7/6,14,17
13,2574,2017/7/7,20,11
13,2574,2017/7/8,25,11
13,2574,2017/7/9,19,17
13,2574,2017/7/10,12,15
13,2574,2017/7/11,10,12
13,2574,2017/7/12,11,10
13,2574,2017/7/13,20,19
13,2574,2017/7/14,19,17
13,2574,2017/7/15,23,15
13,2574,2017/7/16,17,17
13,2574,2017/7/17,14,18
13,2574,2017/7/18,11,16
13,2574,2017/7/19,11,13
13,2574,2017/7/20,12,11
13,2574,2017/7/21,17,15
13,2574,2017/7/22,18,13
13,2574,2017/7/23,20,18
13,2574,2017/7/24,15,16
13,2574,2017/7/25,12,15
13,2574,2017/7/26,13,15
13,2574,2017/7/27,11,12
13,2574,2017/7/28,14,10
13,2574,2017/7/29,19,9
13,2574,2017/7/30,19,14
13,2574,2017/7/31,10,14
14,2562,2017/7/2,4,8
14,2562,2017/7/3,6,7
14,2562,2017/7/4,4,6
14,2562,2017/7/5,5,6
14,2562,2017/7/6,4,3
14,2562,2017/7/7,5,2
14,2562,2017/7/8,4,5
14,2562,2017/7/9,5,7
14,2562,2017/7/10,5,5
14,2562,2017/7/11,4,6
14,2562,2017/7/12,5,5
14,2562,2017/7/13,5,6
14,2562,2017/7/14,4,2
14,2562,2017/7/15,3,6
14,2562,2017/7/16,6,5
14,2562,2017/7/17,6,4
14,2562,2017/7/18,5,4
14,2562,2017/7/19,3,5
14,2562,2017/7/20,4,7
14,2562,2017/7/21,4,5
14,2562,2017/7/22,5,2
14,2562,2017/7/23,5,5
14,2562,2017/7/24,6,5
14,2562,2017/7/25,3,4
14,2562,2017/7/26,4,8
14,2562,2017/7/27,3,0
14,2562,2017/7/28,5,3
14,2562,2017/7/29,4,4
14,2562,2017/7/30,4,2
14,2562,2017/7/31,4,5
15,2570,2017/7/2,10,8
15,2570,2017/7/3,8,7
15,2570,2017/7/4,10,13
15,2570,2017/7/5,8,9
15,2570,2017/7/6,7,7
15,2570,2017/7/7,9,8
15,2570,2017/7/8,12,9
15,2570,2017/7/9,12,9
15,2570,2017/7/10,8,10
15,2570,2017/7/11,4,9
15,2570,2017/7/12,4,7
15,2570,2017/7/13,5,3
15,2570,2017/7/14,6,6
15,2570,2017/7/15,10,9
15,2570,2017/7/16,10,9
15,2570,2017/7/17,6,5
15,2570,2017/7/18,5,6
15,2570,2017/7/19,5,5
15,2570,2017/7/20,4,7
15,2570,2017/7/21,6,4
15,2570,2017/7/22,6,7
15,2570,2017/7/23,7,7
15,2570,2017/7/24,5,6
15,2570,2017/7/25,3,6
15,2570,2017/7/26,6,6
15,2570,2017/7/27,4,5
15,2570,2017/7/28,5,7
15,2570,2017/7/29,6,4
15,2570,2017/7/30,7,6
15,2570,2017/7/31,9,9
16,2575,2017/7/2,33,23
16,2575,2017/7/3,26,26
16,2575,2017/7/4,17,23
16,2575,2017/7/5,20,26
16,2575,2017/7/6,20,24
16,2575,2017/7/7,25,22
16,2575,2017/7/8,31,20
16,2575,2017/7/9,37,22
16,2575,2017/7/10,23,20
16,2575,2017/7/11,17,16
16,2575,2017/7/12,17,20
16,2575,2017/7/13,18,21
16,2575,2017/7/14,18,16
16,2575,2017/7/15,27,15
16,2575,2017/7/16,32,15
16,2575,2017/7/17,22,15
16,2575,2017/7/18,12,15
16,2575,2017/7/19,13,17
16,2575,2017/7/20,10,14
16,2575,2017/7/21,14,15
16,2575,2017/7/22,20,13
16,2575,2017/7/23,29,17
16,2575,2017/7/24,23,18
16,2575,2017/7/25,16,15
16,2575,2017/7/26,15,17
16,2575,2017/7/27,14,15
16,2575,2017/7/28,16,18
16,2575,2017/7/29,18,17
16,2575,2017/7/30,20,13
16,2575,2017/7/31,19,14
17,2822,2017/7/2,5,7
17,2822,2017/7/3,6,7
17,2822,2017/7/4,6,6
17,2822,2017/7/5,7,10
17,2822,2017/7/6,6,4
17,2822,2017/7/7,6,2
17,2822,2017/7/8,5,3
17,2822,2017/7/9,6,5
17,2822,2017/7/10,6,6
17,2822,2017/7/11,8,8
17,2822,2017/7/12,8,7
17,2822,2017/7/13,7,5
17,2822,2017/7/14,5,7
17,2822,2017/7/15,5,7
17,2822,2017/7/16,5,8
17,2822,2017/7/17,6,6
17,2822,2017/7/18,8,8
17,2822,2017/7/19,7,6
17,2822,2017/7/20,6,5
17,2822,2017/7/21,6,5
17,2822,2017/7/22,5,7
17,2822,2017/7/23,6,5
17,2822,2017/7/24,6,4
17,2822,2017/7/25,6,5
17,2822,2017/7/26,5,4
17,2822,2017/7/27,7,7
17,2822,2017/7/28,5,3
17,2822,2017/7/29,4,5
17,2822,2017/7/30,4,5
17,2822,2017/7/31,4,4
18,2567,2017/7/2,9,8
18,2567,2017/7/3,7,8
18,2567,2017/7/4,7,8
18,2567,2017/7/5,10,8
18,2567,2017/7/6,9,10
18,2567,2017/7/7,10,8
18,2567,2017/7/8,13,10
18,2567,2017/7/9,9,8
18,2567,2017/7/10,8,7
18,2567,2017/7/11,7,8
18,2567,2017/7/12,8,13
18,2567,2017/7/13,7,8
18,2567,2017/7/14,8,8
18,2567,2017/7/15,13,13
18,2567,2017/7/16,10,5
18,2567,2017/7/17,10,9
18,2567,2017/7/18,8,8
18,2567,2017/7/19,9,7
18,2567,2017/7/20,8,10
18,2567,2017/7/21,7,7
18,2567,2017/7/22,7,8
18,2567,2017/7/23,9,7
18,2567,2017/7/24,8,7
18,2567,2017/7/25,9,8
18,2567,2017/7/26,7,8
18,2567,2017/7/27,7,6
18,2567,2017/7/28,5,8
18,2567,2017/7/29,6,9
18,2567,2017/7/30,8,5
18,2567,2017/7/31,10,8
19,2539,2017/7/2,13,11
19,2539,2017/7/3,14,11
19,2539,2017/7/4,14,15
19,2539,2017/7/5,15,14
19,2539,2017/7/6,15,16
19,2539,2017/7/7,14,14
19,2539,2017/7/8,18,19
19,2539,2017/7/9,20,14
19,2539,2017/7/10,16,16
19,2539,2017/7/11,11,13
19,2539,2017/7/12,11,9
19,2539,2017/7/13,11,10
19,2539,2017/7/14,11,11
19,2539,2017/7/15,15,9
19,2539,2017/7/16,13,9
19,2539,2017/7/17,12,9
19,2539,2017/7/18,8,11
19,2539,2017/7/19,6,8
19,2539,2017/7/20,7,8
19,2539,2017/7/21,8,7
19,2539,2017/7/22,10,7
19,2539,2017/7/23,15,8
19,2539,2017/7/24,12,12
19,2539,2017/7/25,8,9
19,2539,2017/7/26,7,10
19,2539,2017/7/27,8,8
19,2539,2017/7/28,9,11
19,2539,2017/7/29,11,12
19,2539,2017/7/30,12,8
19,2539,2017/7/31,10,7
20,2569,2017/7/2,4,7
20,2569,2017/7/3,4,7
20,2569,2017/7/4,4,5
20,2569,2017/7/5,5,4
20,2569,2017/7/6,5,3
20,2569,2017/7/7,6,5
20,2569,2017/7/8,5,9
20,2569,2017/7/9,5,5
20,2569,2017/7/10,6,9
20,2569,2017/7/11,4,3
20,2569,2017/7/12,6,7
20,2569,2017/7/13,8,7
20,2569,2017/7/14,6,4
20,2569,2017/7/15,7,10
20,2569,2017/7/16,5,6
20,2569,2017/7/17,5,5
20,2569,2017/7/18,5,5
20,2569,2017/7/19,5,5
20,2569,2017/7/20,5,7
20,2569,2017/7/21,5,7
20,2569,2017/7/22,5,6
20,2569,2017/7/23,3,3
20,2569,2017/7/24,5,7
20,2569,2017/7/25,5,7
20,2569,2017/7/26,4,3
20,2569,2017/7/27,5,7
20,2569,2017/7/28,6,5
20,2569,2017/7/29,5,4
20,2569,2017/7/30,3,8
20,2569,2017/7/31,5,2
21,2502,2017/7/2,8,9
21,2502,2017/7/3,6,4
21,2502,2017/7/4,7,10
21,2502,2017/7/5,8,11
21,2502,2017/7/6,7,11
21,2502,2017/7/7,7,3
21,2502,2017/7/8,8,9
21,2502,2017/7/9,11,8
21,2502,2017/7/10,9,11
21,2502,2017/7/11,6,4
21,2502,2017/7/12,6,6
21,2502,2017/7/13,6,8
21,2502,2017/7/14,8,8
21,2502,2017/7/15,8,9
21,2502,2017/7/16,8,10
21,2502,2017/7/17,8,13
21,2502,2017/7/18,6,8
21,2502,2017/7/19,6,7
21,2502,2017/7/20,6,7
21,2502,2017/7/21,8,6
21,2502,2017/7/22,7,9
21,2502,2017/7/23,9,5
21,2502,2017/7/24,8,7
21,2502,2017/7/25,7,8
21,2502,2017/7/26,7,8
21,2502,2017/7/27,7,9
21,2502,2017/7/28,7,7
21,2502,2017/7/29,9,9
21,2502,2017/7/30,9,4
21,2502,2017/7/31,6,6
22,2711,2017/7/2,16,16
22,2711,2017/7/3,11,15
22,2711,2017/7/4,12,16
22,2711,2017/7/5,12,13
22,2711,2017/7/6,12,13
22,2711,2017/7/7,16,17
22,2711,2017/7/8,17,12
22,2711,2017/7/9,19,12
22,2711,2017/7/10,10,10
22,2711,2017/7/11,6,8
22,2711,2017/7/12,7,7
22,2711,2017/7/13,10,10
22,2711,2017/7/14,12,11
22,2711,2017/7/15,15,10
22,2711,2017/7/16,14,9
22,2711,2017/7/17,9,8
22,2711,2017/7/18,7,10
22,2711,2017/7/19,8,10
22,2711,2017/7/20,8,6
22,2711,2017/7/21,9,8
22,2711,2017/7/22,12,9
22,2711,2017/7/23,10,7
22,2711,2017/7/24,9,10
22,2711,2017/7/25,8,10
22,2711,2017/7/26,8,9
22,2711,2017/7/27,7,5
22,2711,2017/7/28,9,5
22,2711,2017/7/29,9,10
22,2711,2017/7/30,8,6
22,2711,2017/7/31,7,6
23,2496,2017/7/2,5,4
23,2496,2017/7/3,5,6
23,2496,2017/7/4,8,10
23,2496,2017/7/5,8,9
23,2496,2017/7/6,8,10
23,2496,2017/7/7,10,7
23,2496,2017/7/8,7,6
23,2496,2017/7/9,6,8
23,2496,2017/7/10,6,7
23,2496,2017/7/11,6,8
23,2496,2017/7/12,8,9
23,2496,2017/7/13,8,8
23,2496,2017/7/14,6,6
23,2496,2017/7/15,6,7
23,2496,2017/7/16,5,9
23,2496,2017/7/17,5,6
23,2496,2017/7/18,6,7
23,2496,2017/7/19,7,7
23,2496,2017/7/20,6,7
23,2496,2017/7/21,5,7
23,2496,2017/7/22,5,7
23,2496,2017/7/23,6,5
23,2496,2017/7/24,5,6
23,2496,2017/7/25,6,6
23,2496,2017/7/26,6,4
23,2496,2017/7/27,7,9
23,2496,2017/7/28,6,7
23,2496,2017/7/29,5,7
23,2496,2017/7/30,5,7
23,2496,2017/7/31,6,3
24,2497,2017/7/2,18,13
24,2497,2017/7/3,13,13
24,2497,2017/7/4,12,15
24,2497,2017/7/5,14,18
24,2497,2017/7/6,12,14
24,2497,2017/7/7,12,13
24,2497,2017/7/8,19,12
24,2497,2017/7/9,21,16
24,2497,2017/7/10,15,15
24,2497,2017/7/11,7,12
24,2497,2017/7/12,6,8
24,2497,2017/7/13,8,8
24,2497,2017/7/14,11,6
24,2497,2017/7/15,16,11
24,2497,2017/7/16,18,13
24,2497,2017/7/17,11,7
24,2497,2017/7/18,9,10
24,2497,2017/7/19,8,12
24,2497,2017/7/20,7,8
24,2497,2017/7/21,8,8
24,2497,2017/7/22,13,10
24,2497,2017/7/23,16,6
24,2497,2017/7/24,13,10
24,2497,2017/7/25,7,9
24,2497,2017/7/26,6,7
24,2497,2017/7/27,7,10
24,2497,2017/7/28,7,9
24,2497,2017/7/29,10,7
24,2497,2017/7/30,14,10
24,2497,2017/7/31,10,12
25,2499,2017/7/2,18,16
25,2499,2017/7/3,21,18
25,2499,2017/7/4,21,22
25,2499,2017/7/5,19,19
25,2499,2017/7/6,16,18
25,2499,2017/7/7,19,17
25,2499,2017/7/8,23,17
25,2499,2017/7/9,19,17
25,2499,2017/7/10,18,14
25,2499,2017/7/11,14,19
25,2499,2017/7/12,14,14
25,2499,2017/7/13,17,20
25,2499,2017/7/14,16,15
25,2499,2017/7/15,17,18
25,2499,2017/7/16,17,17
25,2499,2017/7/17,21,15
25,2499,2017/7/18,16,13
25,2499,2017/7/19,15,16
25,2499,2017/7/20,13,15
25,2499,2017/7/21,14,14
25,2499,2017/7/22,16,17
25,2499,2017/7/23,16,12
25,2499,2017/7/24,18,16
25,2499,2017/7/25,17,15
25,2499,2017/7/26,18,19
25,2499,2017/7/27,16,19
25,2499,2017/7/28,17,18
25,2499,2017/7/29,16,17
25,2499,2017/7/30,17,12
25,2499,2017/7/31,17,15
26,2549,2017/7/2,12,9
26,2549,2017/7/3,15,15
26,2549,2017/7/4,15,13
26,2549,2017/7/5,19,18
26,2549,2017/7/6,12,16
26,2549,2017/7/7,10,14
26,2549,2017/7/8,9,14
26,2549,2017/7/9,15,13
26,2549,2017/7/10,14,10
26,2549,2017/7/11,13,9
26,2549,2017/7/12,11,9
26,2549,2017/7/13,10,9
26,2549,2017/7/14,9,10
26,2549,2017/7/15,10,11
26,2549,2017/7/16,13,13
26,2549,2017/7/17,14,9
26,2549,2017/7/18,16,15
26,2549,2017/7/19,11,10
26,2549,2017/7/20,10,10
26,2549,2017/7/21,12,15
26,2549,2017/7/22,13,13
26,2549,2017/7/23,11,12
26,2549,2017/7/24,10,10
26,2549,2017/7/25,13,10
26,2549,2017/7/26,14,13
26,2549,2017/7/27,13,16
26,2549,2017/7/28,12,15
26,2549,2017/7/29,10,11
26,2549,2017/7/30,11,11
26,2549,2017/7/31,11,11
27,2547,2017/7/2,6,2
27,2547,2017/7/3,4,3
27,2547,2017/7/4,6,5
27,2547,2017/7/5,4,4
27,2547,2017/7/6,4,7
27,2547,2017/7/7,5,5
27,2547,2017/7/8,6,4
27,2547,2017/7/9,7,6
27,2547,2017/7/10,5,4
27,2547,2017/7/11,3,3
27,2547,2017/7/12,2,3
27,2547,2017/7/13,3,5
27,2547,2017/7/14,4,3
27,2547,2017/7/15,5,3
27,2547,2017/7/16,4,3
27,2547,2017/7/17,3,2
27,2547,2017/7/18,3,4
27,2547,2017/7/19,2,3
27,2547,2017/7/20,3,4
27,2547,2017/7/21,3,7
27,2547,2017/7/22,4,4
27,2547,2017/7/23,5,6
27,2547,2017/7/24,5,5
27,2547,2017/7/25,5,5
27,2547,2017/7/26,4,5
27,2547,2017/7/27,4,3
27,2547,2017/7/28,4,6
27,2547,2017/7/29,4,4
27,2547,2017/7/30,5,6
27,2547,2017/7/31,5,3
28,2494,2017/7/2,22,18
28,2494,2017/7/3,21,19
28,2494,2017/7/4,22,22
28,2494,2017/7/5,23,24
28,2494,2017/7/6,23,26
28,2494,2017/7/7,22,20
28,2494,2017/7/8,25,20
28,2494,2017/7/9,28,22
28,2494,2017/7/10,25,21
28,2494,2017/7/11,18,19
28,2494,2017/7/12,14,18
28,2494,2017/7/13,16,20
28,2494,2017/7/14,17,18
28,2494,2017/7/15,18,18
28,2494,2017/7/16,20,13
28,2494,2017/7/17,20,15
28,2494,2017/7/18,18,15
28,2494,2017/7/19,14,15
28,2494,2017/7/20,14,13
28,2494,2017/7/21,14,15
28,2494,2017/7/22,15,16
28,2494,2017/7/23,16,15
28,2494,2017/7/24,16,15
28,2494,2017/7/25,18,15
28,2494,2017/7/26,17,17
28,2494,2017/7/27,12,13
28,2494,2017/7/28,11,11
28,2494,2017/7/29,11,16
28,2494,2017/7/30,13,11
28,2494,2017/7/31,16,16
29,2495,2017/7/2,11,12
29,2495,2017/7/3,11,12
29,2495,2017/7/4,16,14
29,2495,2017/7/5,16,15
29,2495,2017/7/6,14,13
29,2495,2017/7/7,14,10
29,2495,2017/7/8,12,12
29,2495,2017/7/9,13,10
29,2495,2017/7/10,10,11
29,2495,2017/7/11,13,12
29,2495,2017/7/12,13,13
29,2495,2017/7/13,13,13
29,2495,2017/7/14,13,10
29,2495,2017/7/15,13,10
29,2495,2017/7/16,12,11
29,2495,2017/7/17,12,11
29,2495,2017/7/18,15,12
29,2495,2017/7/19,14,13
29,2495,2017/7/20,14,13
29,2495,2017/7/21,11,11
29,2495,2017/7/22,10,12
29,2495,2017/7/23,14,15
29,2495,2017/7/24,12,11
29,2495,2017/7/25,13,14
29,2495,2017/7/26,13,12
29,2495,2017/7/27,13,14
29,2495,2017/7/28,14,14
29,2495,2017/7/29,11,14
29,2495,2017/7/30,11,11
29,2495,2017/7/31,10,11
30,2552,2017/7/2,12,11
30,2552,2017/7/3,12,12
